egid;eingang_koordinaten
451551;47.56035470522799, 7.5687484357587715
451552;47.56029178624994, 7.568691002702126
451553;47.560227187108765, 7.568632050988855
451554;47.56016431294978, 7.568574698038636
451555;47.56010034269871, 7.568516292898405
451556;47.56288182250136, 7.570677351343771
451558;47.56211733455077, 7.569860242233367
451559;47.56203562441223, 7.569774258454114
451561;47.561852045775346, 7.570037136068704
451566;47.56176378042107, 7.569485881841007
451569;47.561527777860206, 7.569235703503098
451571;47.560961658706375, 7.568640414091406
451572;47.560899654281016, 7.568577388870688
451573;47.560837647364856, 7.5685165694430925
451575;47.56068374889597, 7.568369241103474
451580;47.56036908629734, 7.5680933846757945
451581;47.560290577071754, 7.568031277510562
451582;47.560210806425495, 7.567971213660518
451584;47.55973449167048, 7.567774878541978
451585;47.55962563666906, 7.567729732948048
451586;47.559526955765406, 7.567690710706454
451587;47.559424982520355, 7.56765225199352
451592;47.55902605872858, 7.5675204827158
451597;47.55829536277475, 7.567350196320834
451599;47.55804604371915, 7.567313058625874
451600;47.55791982396103, 7.567298392335336
451605;47.558248762414316, 7.566978117789115
451610;47.55760455289671, 7.566910817814976
451611;47.5573802910415, 7.566930155939756
451614;47.563777976777985, 7.5695411598348326
451615;47.563649894324655, 7.56940754332702
451616;47.56353214233688, 7.5692847689265355
451619;47.5639069616027, 7.568900856247427
451626;47.563899071502185, 7.568111274424525
451629;47.562589927035305, 7.569499969161691
451633;47.56175747469534, 7.567734814267687
451634;47.56179632534882, 7.567663608438881
451635;47.56183745503223, 7.5675890861759365
451637;47.5619298829212, 7.56741851374959
451638;47.56200722335416, 7.567276724700123
451639;47.56217631619521, 7.567005337928725
451640;47.56224392727827, 7.566926865371589
451641;47.56232358055911, 7.566832317127388
451646;47.562672174314415, 7.566424561824299
451648;47.562826466837016, 7.566246996940204
451649;47.56303368716193, 7.566003424750277
451653;47.56339335414326, 7.565425615598356
451654;47.563434565204794, 7.565274764957302
451656;47.56352298588856, 7.564956122003256
451657;47.56364189037447, 7.564524484274262
451661;47.56169799436907, 7.568517264517082
451662;47.561743525445316, 7.568375427062652
451664;47.561841190552826, 7.568114183106364
451668;47.562402551638776, 7.567169994439227
451672;47.56273677515673, 7.566778138059588
451676;47.563176053841566, 7.566319597908868
451677;47.5633024606615, 7.566171317005794
451678;47.56137796853922, 7.568147302313702
451684;47.56135789551475, 7.566933349386737
451689;47.56134613666318, 7.566215148777849
451699;47.56151776926533, 7.566144232475807
451702;47.56195845785565, 7.565809366229643
451708;47.560093482900484, 7.566658558879498
451709;47.56011381954733, 7.566443546179731
